<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2000.12.31	0.94210	0.95960	0.92620	0.95750	35878	0	50
2001.01.07	0.95840	0.95920	0.93620	0.95190	41008	0	50
2001.01.14	0.95240	0.95270	0.92880	0.93420	39694	0	50
2001.01.21	0.93470	0.94520	0.91150	0.92460	40090	0	50
2001.01.28	0.92390	0.94450	0.91430	0.93620	38775	0	50
2001.02.04	0.93530	0.94410	0.91320	0.92430	39818	0	50
2001.02.11	0.92550	0.93310	0.90260	0.91480	37124	0	50
2001.02.18	0.91310	0.92410	0.90140	0.91930	40286	0	50
2001.02.25	0.91740	0.93820	0.90770	0.93630	40424	0	50
2001.03.04	0.93640	0.93750	0.92520	0.93310	37297	0	50
2001.03.11	0.93210	0.93440	0.89150	0.89700	48195	0	50
2001.03.18	0.89700	0.91270	0.88340	0.88900	43034	0	50
2001.03.25	0.88970	0.89930	0.87490	0.87550	43512	0	50
2001.04.01	0.87430	0.90930	0.87320	0.90400	44657	0	50
2001.04.08	0.90420	0.90500	0.88090	0.88820	41036	0	50
2001.04.15	0.88860	0.90480	0.87060	0.90290	42739	0	50
2001.04.22	0.90150	0.90830	0.88870	0.89220	43840	0	50
2001.04.29	0.89140	0.90090	0.88500	0.89260	41728	0	50
2001.05.06	0.89260	0.89370	0.87360	0.87520	41612	0	50
2001.05.13	0.87600	0.88810	0.87250	0.88170	41088	0	50
2001.05.20	0.87990	0.88200	0.84940	0.86140	41961	0	50
2001.05.27	0.86020	0.86140	0.84310	0.84810	39544	0	50
2001.06.03	0.84680	0.85690	0.84240	0.85080	38215	0	50
2001.06.10	0.85000	0.86740	0.84100	0.86150	38669	0	50
2001.06.17	0.86290	0.86440	0.84950	0.85760	38442	0	50
2001.06.24	0.85680	0.86610	0.84300	0.84970	42954	0	50
2001.07.01	0.85030	0.85090	0.83460	0.84800	47585	0	50
2001.07.08	0.84690	0.86440	0.84440	0.85450	43451	0	50
2001.07.15	0.85400	0.87880	0.84880	0.87140	44133	0	50
2001.07.22	0.87050	0.88250	0.86490	0.87760	44682	0	50
2001.07.29	0.87770	0.88780	0.87210	0.88430	43319	0	50
2001.08.05	0.88300	0.89620	0.87370	0.89300	42225	0	50
2001.08.12	0.89370	0.92020	0.89200	0.91810	46829	0	50
2001.08.19	0.91760	0.92410	0.90760	0.91480	45703	0	50
2001.08.26	0.91450	0.92000	0.90260	0.91250	45714	0	50
2001.09.02	0.90940	0.91050	0.88240	0.90760	46119	0	50
2001.09.09	0.90600	0.92510	0.89540	0.92050	49119	0	50
2001.09.16	0.92360	0.93350	0.90840	0.91440	47596	0	50
2001.09.23	0.91340	0.92500	0.90780	0.91140	45489	0	50
2001.09.30	0.91030	0.92350	0.90590	0.91870	46436	0	50
2001.10.07	0.91910	0.92460	0.89890	0.91130	43456	0	50
2001.10.14	0.91170	0.91410	0.89650	0.89900	43817	0	50
2001.10.21	0.89850	0.90040	0.88670	0.89230	42273	0	50
2001.10.28	0.89220	0.91210	0.89210	0.90400	44989	0	50
2001.11.04	0.90150	0.90490	0.88880	0.89340	44710	0	50
2001.11.11	0.89440	0.90160	0.87700	0.88430	42772	0	50
2001.11.18	0.88430	0.88550	0.87350	0.87820	42389	0	50
2001.11.25	0.87780	0.89830	0.87690	0.89560	44966	0	50
2001.12.02	0.89560	0.89700	0.88460	0.89180	46388	0	50
2001.12.09	0.88940	0.90550	0.88400	0.90260	45216	0	50
2001.12.16	0.90350	0.90830	0.88540	0.88890	50169	0	50
2001.12.23	0.88880	0.89100	0.87410	0.88530	39164	0	50
2001.12.30	0.88410	0.90690	0.88240	0.89480	38595	0	50
2002.01.06	0.89500	0.89980	0.88640	0.89220	46661	0	50
2002.01.13	0.89450	0.89560	0.87930	0.88450	47193	0	50
2002.01.20	0.88400	0.88920	0.86310	0.86440	47052	0	50
2002.01.27	0.86450	0.86770	0.85620	0.86220	46799	0	50
2002.02.03	0.86150	0.87560	0.86050	0.87220	42645	0	50
2002.02.10	0.87080	0.88030	0.86800	0.87300	42795	0	50
2002.02.17	0.87320	0.87850	0.86630	0.87520	41263	0	50
2002.02.24	0.87530	0.87590	0.86150	0.86580	43802	0	50
2002.03.03	0.86470	0.88430	0.86310	0.87340	45750	0	50
2002.03.10	0.87370	0.88700	0.87030	0.88300	43020	0	50
2002.03.17	0.88120	0.88620	0.87490	0.87800	42667	0	50
2002.03.24	0.87730	0.87980	0.86980	0.87190	40958	0	50
2002.03.31	0.87160	0.88590	0.87140	0.87850	42081	0	50
2002.04.07	0.87910	0.88500	0.87330	0.88090	42942	0	50
2002.04.14	0.87970	0.89290	0.87880	0.89220	42605	0	50
2002.04.21	0.88940	0.90260	0.88580	0.90150	40799	0	50
2002.04.28	0.90130	0.91780	0.89880	0.91730	40893	0	50
2002.05.05	0.91640	0.91930	0.90360	0.91400	43174	0	50
2002.05.12	0.91290	0.92240	0.89940	0.92110	44283	0	50
2002.05.19	0.92060	0.92800	0.91610	0.92030	46344	0	50
2002.05.26	0.92050	0.94160	0.91820	0.93370	45189	0	50
2002.06.02	0.93300	0.94900	0.93020	0.94260	46182	0	50
2002.06.09	0.94310	0.95240	0.93870	0.94540	44902	0	50
2002.06.16	0.94510	0.97220	0.94110	0.97050	45192	0	50
2002.06.23	0.96990	0.99920	0.96610	0.99110	51464	0	50
2002.06.30	0.99140	0.99730	0.97140	0.97300	45889	0	50
2002.07.07	0.97450	0.99710	0.97410	0.99060	49424	0	50
2002.07.14	0.99160	1.02100	0.99130	1.01170	52126	0	50
2002.07.21	1.01120	1.01350	0.98440	0.98590	51230	0	50
2002.07.28	0.98730	0.99190	0.97260	0.98590	49673	0	50
2002.08.04	0.98650	0.98760	0.96210	0.96980	50494	0	50
2002.08.11	0.97020	0.98940	0.96890	0.98700	47971	0	50
2002.08.18	0.98440	0.98730	0.96640	0.97240	44859	0	50
2002.08.25	0.97320	0.98880	0.96840	0.98150	42330	0	50
2002.09.01	0.98240	0.99930	0.97960	0.98080	45369	0	50
2002.09.08	0.98170	0.98440	0.96980	0.97130	47696	0	50
2002.09.15	0.97080	0.98780	0.96080	0.98260	50436	0	50
2002.09.22	0.98080	0.98590	0.97270	0.97920	46909	0	50
2002.09.29	0.98110	0.99120	0.97810	0.97940	43960	0	50
2002.10.06	0.97880	0.99310	0.97650	0.98750	44740	0	50
2002.10.13	0.98740	0.98950	0.96970	0.97250	45825	0	50
2002.10.20	0.97220	0.98030	0.96870	0.97630	43268	0	50
2002.10.27	0.97620	1.00060	0.97250	0.99660	45322	0	50
2002.11.03	0.99640	1.01540	0.99310	1.01340	45491	0	50
2002.11.10	1.01270	1.01730	1.00100	1.00980	47382	0	50
2002.11.17	1.01020	1.01430	0.99610	0.99690	46443	0	50
2002.11.24	0.99680	0.99710	0.98770	0.99380	42655	0	50
2002.12.01	0.99280	1.01290	0.98600	1.00910	46152	0	50
2002.12.08	1.01010	1.02620	1.00590	1.02420	45639	0	50
2002.12.15	1.02300	1.03350	1.01940	1.02740	48604	0	50
2002.12.22	1.02640	1.04470	1.02180	1.04430	35929	0	50
2002.12.29	1.04190	1.05070	1.03350	1.04280	35322	0	50
2003.01.05	1.04200	1.05880	1.03590	1.05730	47420	0	50
2003.01.12	1.05790	1.06820	1.05020	1.06730	48256	0	50
2003.01.19	1.06580	1.08570	1.06310	1.08310	53514	0	50
2003.01.26	1.08390	1.09100	1.07220	1.07710	50827	0	50
2003.02.02	1.07890	1.09380	1.06910	1.08210	50529	0	50
2003.02.09	1.08170	1.08610	1.06640	1.07930	50127	0	50
2003.02.16	1.07730	1.08500	1.06640	1.07670	48629	0	50
2003.02.23	1.07230	1.08390	1.07060	1.08060	48155	0	50
2003.03.02	1.07790	1.10690	1.07680	1.10070	49946	0	50
2003.03.09	1.10060	1.10870	1.06910	1.07480	49181	0	50
2003.03.16	1.07830	1.08450	1.05020	1.05290	53604	0	50
2003.03.23	1.05860	1.08050	1.05660	1.07810	50015	0	50
2003.03.30	1.07970	1.09610	1.06840	1.07340	51703	0	50
2003.04.06	1.06720	1.08320	1.05590	1.07560	50288	0	50
2003.04.13	1.07450	1.09770	1.07170	1.08790	45944	0	50
2003.04.20	1.08980	1.10510	1.08210	1.10370	45140	0	50
2003.04.27	1.10370	1.12880	1.09300	1.12300	47545	0	50
2003.05.04	1.12270	1.15410	1.12040	1.14890	66169	0	50
2003.05.11	1.15310	1.16290	1.13710	1.15970	56522	0	50
2003.05.18	1.16730	1.18460	1.16020	1.18420	55075	0	50
2003.05.25	1.18320	1.19310	1.16910	1.17850	53182	0	50
2003.06.01	1.17200	1.18900	1.16310	1.17010	56733	0	50
2003.06.08	1.17080	1.18820	1.16590	1.18740	54384	0	50
2003.06.15	1.18760	1.19320	1.15520	1.16050	52939	0	50
2003.06.22	1.15790	1.16250	1.13990	1.14250	53386	0	50
2003.06.29	1.14300	1.16130	1.14000	1.14940	47470	0	50
2003.07.06	1.14800	1.14840	1.12580	1.12810	56653	0	50
2003.07.13	1.12890	1.13410	1.11120	1.12720	56358	0	50
2003.07.20	1.12500	1.15530	1.12420	1.15130	54090	0	50
2003.07.27	1.14970	1.15430	1.11340	1.12760	54554	0	50
2003.08.03	1.12840	1.14300	1.12610	1.13070	50976	0	50
2003.08.10	1.13060	1.13830	1.12180	1.12640	50252	0	50
2003.08.17	1.12670	1.12720	1.08350	1.08870	48984	0	50
2003.08.24	1.08690	1.10000	1.07880	1.09850	50857	0	50
2003.08.31	1.09900	1.11140	1.07620	1.11120	52090	0	50
2003.09.07	1.10980	1.13270	1.10470	1.12920	51185	0	50
2003.09.14	1.12620	1.13940	1.11380	1.13840	49094	0	50
2003.09.21	1.14520	1.15370	1.14140	1.14780	51682	0	50
2003.09.28	1.14590	1.17710	1.13940	1.15820	54817	0	50
2003.10.05	1.15740	1.18650	1.15310	1.17990	52276	0	50
2003.10.12	1.18090	1.18190	1.15440	1.16790	53381	0	50
2003.10.19	1.17040	1.18600	1.16020	1.17860	52577	0	50
2003.10.26	1.17730	1.17870	1.15630	1.15860	52333	0	50
2003.11.02	1.15820	1.16230	1.13760	1.15200	48382	0	50
2003.11.09	1.15030	1.18060	1.14440	1.17840	51040	0	50
2003.11.16	1.18140	1.19810	1.17240	1.19250	54121	0	50
2003.11.23	1.19120	1.20190	1.17540	1.19980	49428	0	50
2003.11.30	1.19880	1.21880	1.19350	1.21880	54802	0	50
2003.12.07	1.21670	1.23090	1.21140	1.22760	53705	0	50
2003.12.14	1.21330	1.24430	1.21320	1.23820	54303	0	50
2003.12.21	1.23820	1.24730	1.23500	1.24220	38690	0	50
2003.12.28	1.24330	1.26490	1.24260	1.25960	38737	0	40
2004.01.04	1.26090	1.28700	1.25600	1.28200	55433	0	40
2004.01.11	1.28420	1.29010	1.23510	1.23950	57294	0	40
2004.01.18	1.23830	1.27790	1.23330	1.25860	55774	0	40
2004.01.25	1.25800	1.26650	1.23500	1.24670	60137	0	40
2004.02.01	1.24810	1.27270	1.23910	1.27050	58114	0	40
2004.02.08	1.26190	1.28940	1.26060	1.27330	62236	0	40
2004.02.15	1.27280	1.29300	1.24930	1.25410	52669	0	40
2004.02.22	1.25170	1.27160	1.23710	1.24950	52325	0	40
2004.02.29	1.24810	1.25440	1.20560	1.23610	52999	0	40
2004.03.07	1.23660	1.24630	1.21620	1.22210	53636	0	40
2004.03.14	1.22100	1.24380	1.21770	1.22830	53209	0	40
2004.03.21	1.22740	1.24030	1.20700	1.21230	52114	0	40
2004.03.28	1.21180	1.23910	1.20460	1.21330	51168	0	40
2004.04.04	1.21120	1.22210	1.19790	1.20910	48902	0	40
2004.04.11	1.20860	1.21000	1.18680	1.19990	58881	0	40
2004.04.18	1.20160	1.20810	1.17780	1.18430	49404	0	40
2004.04.25	1.18010	1.20160	1.17590	1.19860	53891	0	40
2004.05.02	1.19960	1.21820	1.18750	1.18930	62152	0	40
2004.05.09	1.18810	1.19450	1.17700	1.18900	63388	0	40
2004.05.16	1.18910	1.20740	1.18780	1.19960	64101	0	40
2004.05.23	1.19930	1.23000	1.19320	1.22150	63182	0	40
2004.05.30	1.22400	1.23330	1.21360	1.22860	62914	0	40
2004.06.06	1.23000	1.23560	1.19650	1.20090	62045	0	40
2004.06.13	1.19740	1.21740	1.19530	1.21420	61035	0	40
2004.06.20	1.21440	1.21960	1.20400	1.21810	60951	0	40
2004.06.27	1.21780	1.23310	1.20660	1.23210	58299	0	40
2004.07.04	1.23280	1.24260	1.22630	1.24180	57191	0	40
2004.07.11	1.24110	1.24620	1.22990	1.24540	56209	0	40
2004.07.18	1.24510	1.24640	1.20880	1.20950	55422	0	40
2004.07.25	1.21030	1.21930	1.19900	1.20190	60523	0	40
2004.08.01	1.20690	1.22940	1.19680	1.22830	55684	0	40
2004.08.08	1.22870	1.23810	1.21750	1.23770	56397	0	40
2004.08.15	1.23790	1.23910	1.22780	1.23190	52769	0	40
2004.08.22	1.23130	1.23220	1.20040	1.20150	54694	0	40
2004.08.29	1.20120	1.22240	1.19860	1.20610	47688	0	40
2004.09.05	1.20620	1.23110	1.20260	1.22690	45078	0	40
2004.09.12	1.22680	1.22970	1.21200	1.21700	44520	0	40
2004.09.19	1.21740	1.23640	1.21250	1.22760	44488	0	40
2004.09.26	1.22830	1.24460	1.22460	1.24020	43952	0	40
2004.10.03	1.24010	1.24350	1.22460	1.24080	44557	0	40
2004.10.10	1.24170	1.25070	1.22240	1.24770	44069	0	40
2004.10.17	1.24770	1.26920	1.24510	1.26860	45536	0	40
2004.10.24	1.27200	1.28440	1.26310	1.27870	48981	0	40
2004.10.31	1.28180	1.29800	1.26550	1.29740	47979	0	40
2004.11.07	1.29690	1.30060	1.28480	1.29700	45868	0	40
2004.11.14	1.29700	1.30760	1.29160	1.30540	45309	0	40
2004.11.21	1.30390	1.33310	1.29750	1.32970	43894	0	40
2004.11.28	1.32800	1.34640	1.32290	1.34550	46215	0	40
2004.12.05	1.34420	1.34710	1.31390	1.32120	47496	0	40
2004.12.12	1.31960	1.34440	1.31950	1.33160	48172	0	40
2004.12.19	1.33330	1.35530	1.32970	1.35280	41598	0	40
2004.12.26	1.35270	1.36700	1.35120	1.35620	43186	0	40
2005.01.02	1.35620	1.35810	1.30240	1.30720	49237	0	30
2005.01.09	1.30580	1.32940	1.30520	1.30950	46764	0	30
2005.01.16	1.31090	1.31290	1.29220	1.30080	45639	0	30
2005.01.23	1.30460	1.31260	1.29450	1.30560	46671	0	30
2005.01.30	1.30120	1.30980	1.28640	1.28640	47206	0	30
2005.02.06	1.28550	1.29090	1.27320	1.28650	46111	0	30
2005.02.13	1.28810	1.30910	1.28770	1.30640	44851	0	30
2005.02.20	1.30520	1.32760	1.30310	1.32430	45593	0	30
2005.02.27	1.32380	1.32800	1.30870	1.32410	45339	0	30
2005.03.06	1.32360	1.34830	1.31770	1.34580	46834	0	30
2005.03.13	1.34630	1.34790	1.32650	1.33210	46406	0	30
2005.03.20	1.33100	1.33180	1.29280	1.29560	44180	0	30
2005.03.27	1.29620	1.30600	1.28560	1.29080	46874	0	30
2005.04.03	1.28850	1.29420	1.28000	1.29180	45948	0	30
2005.04.10	1.29260	1.30170	1.27670	1.29000	47470	0	30
2005.04.17	1.29180	1.31270	1.28760	1.30620	56159	0	30
2005.04.24	1.30570	1.30630	1.28530	1.28740	59080	0	30
2005.05.01	1.28620	1.29930	1.28100	1.28380	56566	0	30
2005.05.08	1.28160	1.29160	1.26040	1.26140	59754	0	30
2005.05.15	1.26250	1.26940	1.25350	1.25510	58014	0	30
2005.05.22	1.25430	1.26320	1.24930	1.25800	56511	0	30
2005.05.29	1.25380	1.25490	1.21580	1.22320	60342	0	30
2005.06.05	1.22270	1.23560	1.21060	1.21220	62159	0	30
2005.06.12	1.21090	1.22920	1.20160	1.22830	66489	0	30
2005.06.19	1.21880	1.22440	1.19820	1.20950	64845	0	30
2005.06.26	1.20990	1.21880	1.19330	1.19370	63653	0	30
2005.07.03	1.19320	1.20420	1.18650	1.19750	59315	0	30
2005.07.10	1.19670	1.22590	1.19550	1.20430	65843	0	30
2005.07.17	1.20240	1.22570	1.19520	1.20580	65756	0	30
2005.07.24	1.20530	1.21630	1.19630	1.21230	62659	0	30
2005.07.31	1.21230	1.24050	1.21170	1.23760	62292	0	30
2005.08.07	1.23370	1.24890	1.23140	1.24380	64561	0	30
2005.08.14	1.24540	1.24600	1.21250	1.21530	60239	0	30
2005.08.21	1.21680	1.23440	1.21550	1.22810	59289	0	30
2005.08.28	1.22840	1.25910	1.21700	1.25150	62222	0	30
2005.09.04	1.25340	1.25890	1.23740	1.24180	60418	0	30
2005.09.11	1.24020	1.24170	1.21930	1.22390	59756	0	30
2005.09.18	1.21630	1.22740	1.20330	1.20340	57755	0	30
2005.09.25	1.20250	1.20930	1.19780	1.20640	59635	0	30
2005.10.02	1.20200	1.22090	1.19000	1.21280	60206	0	30
2005.10.09	1.21170	1.21560	1.19130	1.20740	47722	0	30
2005.10.16	1.20780	1.21240	1.18750	1.19560	52975	0	30
2005.10.23	1.19440	1.21740	1.19220	1.20660	47224	0	30
2005.10.30	1.20630	1.20920	1.18000	1.18100	47754	0	30
2005.11.06	1.18040	1.18340	1.16710	1.17380	46390	0	30
2005.11.13	1.17180	1.17960	1.16380	1.17710	48184	0	30
2005.11.20	1.17800	1.18690	1.16850	1.17190	46817	0	30
2005.11.27	1.17070	1.19040	1.16600	1.17100	48141	0	30
2005.12.04	1.17000	1.18530	1.16870	1.18150	46196	0	30
2005.12.11	1.17880	1.20640	1.17840	1.20150	48590	0	30
2005.12.18	1.20250	1.20400	1.18010	1.18620	44957	0	30
2005.12.25	1.18600	1.19340	1.17780	1.18390	39067	0	30
2006.01.01	1.18490	1.21820	1.18010	1.21430	44251	0	20
2006.01.08	1.21430	1.21650	1.20070	1.21150	48168	0	20
2006.01.15	1.21530	1.21760	1.20400	1.21360	46555	0	20
2006.01.22	1.21430	1.23240	1.20860	1.20970	49909	0	20
2006.01.29	1.21040	1.21910	1.19670	1.20250	46182	0	20
2006.02.05	1.20330	1.20500	1.18920	1.19080	45428	0	20
2006.02.12	1.18950	1.19550	1.18480	1.19320	45168	0	20
2006.02.19	1.19250	1.19770	1.18630	1.18720	43175	0	20
2006.02.26	1.18660	1.20550	1.18250	1.20370	45442	0	20
2006.03.05	1.20500	1.20950	1.18590	1.19160	47460	0	20
2006.03.12	1.19130	1.22090	1.19110	1.21900	49694	0	20
2006.03.19	1.21760	1.21990	1.19510	1.20400	48778	0	20
2006.03.26	1.20390	1.21780	1.19800	1.21160	50639	0	20
2006.04.02	1.21190	1.23350	1.20310	1.20930	52371	0	20
2006.04.09	1.21060	1.21700	1.20650	1.21110	45312	0	20
2006.04.16	1.21220	1.23960	1.21190	1.23400	49700	0	20
2006.04.23	1.23710	1.26430	1.23330	1.26350	51405	0	20
2006.04.30	1.26290	1.27660	1.25550	1.27270	50423	0	20
2006.05.07	1.27440	1.29600	1.26600	1.29260	50627	0	20
2006.05.14	1.29470	1.29730	1.26920	1.27710	50986	0	20
2006.05.21	1.27630	1.28950	1.26940	1.27370	50598	0	20
2006.05.28	1.27320	1.29410	1.27180	1.29220	50645	0	20
2006.06.04	1.29270	1.29810	1.25970	1.26420	51520	0	20
2006.06.11	1.26150	1.26760	1.25300	1.26470	48926	0	20
2006.06.18	1.26490	1.26820	1.24780	1.25100	47101	0	20
2006.06.25	1.25060	1.27990	1.25010	1.27900	48738	0	20
2006.07.02	1.27880	1.28640	1.27050	1.28100	48234	0	20
2006.07.09	1.28130	1.28200	1.26260	1.26500	48135	0	20
2006.07.16	1.26380	1.27080	1.24570	1.27000	48612	0	20
2006.07.23	1.27040	1.27750	1.25590	1.27620	47696	0	20
2006.07.30	1.27650	1.29120	1.27200	1.28740	47356	0	20
2006.08.06	1.28840	1.29150	1.27150	1.27210	48752	0	20
2006.08.13	1.27120	1.28900	1.26940	1.28250	45672	0	20
2006.08.20	1.28270	1.29420	1.27230	1.27540	47617	0	20
2006.08.27	1.27610	1.28810	1.27490	1.28360	47724	0	20
2006.09.03	1.28460	1.28770	1.26500	1.26740	46374	0	20
2006.09.10	1.26660	1.27560	1.26300	1.26590	45845	0	20
2006.09.17	1.26370	1.28300	1.26290	1.27830	52549	0	20
2006.09.24	1.27890	1.28190	1.26390	1.26730	52679	0	20
2006.10.01	1.26830	1.27640	1.25740	1.25990	43311	0	20
2006.10.08	1.25880	1.26120	1.24830	1.25120	29861	0	20
2006.10.15	1.25010	1.26410	1.24880	1.26160	30263	0	20
2006.10.22	1.26150	1.27490	1.25240	1.27400	31943	0	20
2006.10.29	1.27300	1.27970	1.26770	1.27160	32290	0	20
2006.11.05	1.27170	1.28990	1.26890	1.28400	33187	0	20
2006.11.12	1.28510	1.28780	1.27610	1.28280	38721	0	20
2006.11.19	1.28250	1.31090	1.27970	1.30930	33915	0	20
2006.11.26	1.31560	1.33470	1.30860	1.33360	45657	0	20
2006.12.03	1.33620	1.33640	1.31890	1.32020	43982	0	20
2006.12.10	1.31820	1.32910	1.30590	1.30790	45137	0	20
2006.12.17	1.30820	1.32440	1.30510	1.31280	39337	0	20
2006.12.24	1.31380	1.32050	1.30870	1.31980	40177	0	20
2006.12.31	1.31890	1.32960	1.29800	1.30010	36774	0	20
2007.01.07	1.30100	1.30510	1.28650	1.29220	42369	0	20
2007.01.14	1.29270	1.29990	1.28950	1.29600	39111	0	20
2007.01.21	1.29560	1.30420	1.28760	1.29140	41778	0	20
2007.01.28	1.29210	1.30620	1.28960	1.29590	32564	0	20
2007.02.04	1.29550	1.30450	1.29110	1.30060	28462	0	20
2007.02.11	1.30150	1.31710	1.29390	1.31360	31534	0	20
2007.02.18	1.31540	1.31870	1.30790	1.31670	26602	0	20
2007.02.25	1.31890	1.32580	1.31410	1.31900	36490	0	20
2007.03.04	1.32090	1.32100	1.30700	1.31160	35335	0	20
2007.03.11	1.31170	1.33380	1.31090	1.33160	32991	0	20
2007.03.18	1.33180	1.34100	1.32680	1.32820	31129	0	20
2007.03.25	1.32880	1.33990	1.32530	1.33540	33432	0	20
2007.04.01	1.33720	1.34390	1.33180	1.33780	22798	0	20
2007.04.08	1.33750	1.35520	1.33390	1.35270	25688	0	20
2007.04.15	1.35660	1.36360	1.35250	1.35900	29382	0	20
2007.04.22	1.36040	1.36810	1.35410	1.36510	29844	0	20
2007.04.29	1.36360	1.36780	1.35350	1.35910	27805	0	20
2007.05.06	1.35980	1.36270	1.34610	1.35240	25212	0	20
2007.05.13	1.35310	1.36090	1.34640	1.35070	25056	0	20
2007.05.20	1.35170	1.35250	1.34110	1.34420	23600	0	20
2007.05.27	1.34470	1.35190	1.33920	1.34480	22316	0	20
2007.06.03	1.34400	1.35530	1.33200	1.33720	24732	0	20
2007.06.10	1.33620	1.33880	1.32620	1.33880	24553	0	20
2007.06.17	1.33810	1.34700	1.33710	1.34690	22519	0	20
2007.06.24	1.34670	1.35410	1.34150	1.35400	24821	0	20
2007.07.01	1.35420	1.36590	1.35270	1.36250	24316	0	20
2007.07.08	1.36320	1.38120	1.35940	1.37820	28969	0	20
2007.07.15	1.37800	1.38420	1.37520	1.38260	28130	0	20
2007.07.22	1.38300	1.38510	1.36260	1.36350	37541	0	20
2007.07.29	1.36120	1.38170	1.36090	1.37730	39506	0	20
2007.08.05	1.38380	1.38380	1.36430	1.36930	36852	0	20
2007.08.12	1.36850	1.37080	1.33600	1.34740	53444	0	20
2007.08.19	1.34770	1.36810	1.34500	1.36750	37044	0	20
2007.08.26	1.36720	1.37190	1.35620	1.36280	34237	0	20
2007.09.02	1.36280	1.37970	1.35500	1.37670	28501	0	20
2007.09.09	1.37810	1.39260	1.37660	1.38740	34534	0	20
2007.09.16	1.38720	1.41190	1.38280	1.40900	39160	0	20
2007.09.23	1.40890	1.42780	1.40600	1.42660	35042	0	20
2007.09.30	1.42800	1.42810	1.40320	1.41340	34145	0	20
2007.10.07	1.41500	1.42400	1.40140	1.41770	32668	0	20
2007.10.14	1.41760	1.43170	1.41430	1.43000	35799	0	20
2007.10.21	1.43340	1.43930	1.41250	1.43920	43399	0	20
