<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.05.01	1.12188	1.14661	1.08185	1.09895	1720454	0	1
2015.06.01	1.09835	1.14360	1.08865	1.11453	3176993	0	1
2015.07.01	1.11380	1.12153	1.08078	1.09831	3311289	1336715057000	4
2015.08.01	1.09711	1.17138	1.08477	1.12090	3206990	4226895997000	4
2015.09.01	1.12079	1.14600	1.10869	1.11763	3225763	4743972801000	4
2015.10.01	1.11748	1.14949	1.08966	1.10050	2907777	4642429448000	7
2015.11.01	1.10266	1.10527	1.05576	1.05643	2932840	4662849704000	2
2015.12.01	1.05639	1.10593	1.05222	1.08609	3018603	4269213689000	3
2016.01.01	1.08696	1.09844	1.07104	1.08300	3351110	4724943247000	4
2016.02.01	1.08297	1.13761	1.08142	1.08718	3818540	5500152333000	7
2016.03.01	1.08751	1.14115	1.08219	1.13788	3055208	4663003257000	5
2016.04.01	1.13777	1.14645	1.12145	1.14504	2923549	4484811678000	4
2016.05.01	1.14582	1.16159	1.10977	1.11303	2699756	4213445043000	7
2016.06.01	1.11301	1.14278	1.09113	1.11048	3339585	5311811345000	7
2016.07.01	1.11014	1.11972	1.09314	1.11743	2607735	4145774761000	7
2016.08.01	1.11715	1.13661	1.10453	1.11571	2403774	3012405186000	7
2016.09.01	1.11562	1.13266	1.11228	1.12399	2579553	2837160733000	7
2016.10.01	1.12262	1.12439	1.08507	1.09762	2565398	2626603578000	7
2016.11.01	1.09761	1.12991	1.05176	1.05870	3413147	3007683461000	7
2016.12.01	1.05891	1.08734	1.03249	1.05068	2545165	1908170100000	7
2017.01.01	1.05100	1.08120	1.03399	1.07968	3219315	2682507305000	7
2017.02.01	1.07958	1.08284	1.04933	1.05757	2482533	2178835307000	7
2017.03.01	1.05731	1.09057	1.04946	1.06462	2754572	2488738235000	7
2017.04.01	1.06591	1.09506	1.05698	1.08979	2039294	1004195042667	0
2017.05.01	1.09101	1.12684	1.08391	1.12425	2456022	46272287511	0
2017.06.01	1.12436	1.14455	1.11190	1.14195	2420400	695314570	0
2017.07.01	1.14164	1.18457	1.13126	1.18404	2403898	2403882	0
2017.08.01	1.18408	1.20704	1.16622	1.19086	3182593	3182574	0
2017.09.01	1.19093	1.20924	1.17170	1.18110	3433417	3433400	0
2017.10.01	1.17882	1.18798	1.15742	1.16457	2918829	2918812	0
2017.11.01	1.16460	1.19612	1.15540	1.19036	2601549	1547998	0
2017.12.01	1.19027	1.20255	1.17176	1.19957	2173310	0	0
2018.01.01	1.20096	1.25378	1.19156	1.24136	3607568	0	50
2018.02.01	1.24131	1.25556	1.21879	1.21938	3961646	0	0
2018.03.01	1.21924	1.24766	1.21546	1.23242	3564818	0	0
2018.04.01	1.23205	1.24138	1.20554	1.20803	2841406	0	0
2018.05.01	1.20763	1.20842	1.15101	1.16927	3454939	0	0
2018.06.01	1.16900	1.18516	1.15081	1.16850	3569334	0	0
2018.07.01	1.16730	1.17907	1.15750	1.16900	3054896	0	0
2018.08.01	1.16901	1.17336	1.13010	1.16060	3023273	0	0
2018.09.01	1.15950	1.18152	1.15258	1.16027	2108113	0	0
2018.10.01	1.16169	1.16248	1.13022	1.13136	2469090	0	0
2018.11.01	1.13108	1.14996	1.12155	1.13197	2268416	0	0
2018.12.01	1.13491	1.14859	1.12699	1.14448	1852052	0	0
2019.01.01	1.14630	1.15698	1.12894	1.14475	1969277	0	0
2019.02.01	1.14458	1.14886	1.12341	1.13703	1299694	0	0
2019.03.01	1.13699	1.14480	1.11762	1.12172	1176561	0	0
2019.04.01	1.12248	1.13240	1.11125	1.12153	981091	0	0
2019.05.01	1.12137	1.12646	1.11071	1.11691	1133109	0	0
2019.06.01	1.11598	1.14122	1.11598	1.13697	1198093	0	0
2019.07.01	1.13595	1.13712	1.10602	1.10765	1073090	0	0
2019.08.01	1.10747	1.12497	1.09633	1.09903	1432897	0	0
2019.09.01	1.09889	1.11096	1.08847	1.08994	1130033	0	0
2019.10.01	1.08964	1.11795	1.08792	1.11515	1193331	0	0
2019.11.01	1.11512	1.11755	1.09812	1.10183	792098	0	0
2019.12.01	1.10227	1.12392	1.10030	1.12233	776151	0	0
2020.01.01	1.12119	1.12246	1.09924	1.10946	820493	0	0
2020.02.01	1.10932	1.10941	1.07778	1.10289	887371	0	0
2020.03.01	1.10428	1.14951	1.06358	1.10357	3486132	0	0
2020.04.01	1.10286	1.10388	1.07272	1.09516	1696848	0	0
2020.05.01	1.09532	1.11451	1.07666	1.11007	1215327	0	0
2020.06.01	1.11137	1.14226	1.11005	1.12336	2122753	0	0
2020.07.01	1.12339	1.19088	1.11854	1.17735	2259129	0	0
2020.08.01	1.17708	1.19661	1.16960	1.19363	2416623	0	0
2020.09.01	1.19361	1.20115	1.16122	1.17208	2397562	0	0
2020.10.01	1.17194	1.18808	1.16401	1.16454	1780470	0	0
2020.11.01	1.16464	1.20034	1.16029	1.19257	1789224	0	0
2020.12.01	1.19256	1.23101	1.19242	1.22168	1710510	0	0
2021.01.01	1.22393	1.23495	1.20536	1.21367	1904529	0	0
2021.02.01	1.21280	1.22429	1.19522	1.20736	1547507	0	0
2021.03.01	1.20700	1.21132	1.17041	1.17300	1889068	0	0
2021.04.01	1.17303	1.21500	1.17126	1.20215	1125699	0	0
2021.05.01	1.20308	1.22664	1.19861	1.22268	925059	0	0
2021.06.01	1.22268	1.22544	1.18452	1.18577	981556	0	0
2021.07.01	1.18581	1.19086	1.17520	1.18696	1040024	0	0
2021.08.01	1.18676	1.18997	1.16640	1.18086	787889	0	0
2021.09.01	1.18088	1.19090	1.15627	1.15769	963100	0	0
2021.10.01	1.15822	1.16922	1.15245	1.15637	937759	0	0
2021.11.01	1.15558	1.16165	1.11864	1.13386	1123036	0	0
2021.12.01	1.13348	1.13864	1.12219	1.13847	971109	0	0
2022.01.01	1.13753	1.14829	1.11215	1.12330	1015204	0	0
2022.02.01	1.12338	1.14949	1.11065	1.12191	1262223	0	0
2022.03.01	1.12182	1.12332	1.08061	1.10662	1869749	0	0
2022.04.01	1.10669	1.10764	1.04714	1.05427	1445405	0	0
2022.05.01	1.05564	1.07870	1.03495	1.07324	1762386	0	0
2022.06.01	1.07351	1.07740	1.03590	1.04835	1915639	0	0
2022.07.01	1.04836	1.04850	0.99522	1.02265	1809145	0	0
2022.08.01	1.02134	1.03686	0.99004	1.00524	1733992	0	0
2022.09.01	1.00517	1.01978	0.95362	0.98010	2081423	0	0
2022.10.01	0.97756	1.00938	0.96316	0.98825	1937243	0	0
2022.11.01	0.98724	1.04967	0.97302	1.04084	1975721	0	0
2022.12.01	1.04044	1.07366	1.03934	1.07007	1641936	0	0
2023.01.01	1.06950	1.09296	1.04834	1.08621	1504441	0	0
2023.02.01	1.08605	1.10329	1.05329	1.05755	1344242	0	0
2023.03.01	1.05750	1.09300	1.05162	1.08415	1694410	0	0
2023.04.01	1.08397	1.10954	1.07882	1.10165	1014073	0	0
2023.05.01	1.10222	1.10920	1.06352	1.06883	1120396	0	0
2023.06.01	1.06897	1.10123	1.06618	1.09098	1052564	0	0
2023.07.01	1.09105	1.12757	1.08334	1.09969	1143868	0	0
2023.08.01	1.09965	1.10650	1.07658	1.08438	1286909	0	0
2023.09.01	1.08428	1.08820	1.04881	1.05732	1020368	0	0
2023.10.01	1.05665	1.06942	1.04483	1.05756	1169268	0	0
2023.11.01	1.05723	1.10172	1.05168	1.08887	1045857	0	0
2023.12.01	1.08873	1.11394	1.07234	1.10372	1061070	0	0
2024.01.01	1.10435	1.10446	1.07950	1.08177	1231267	0	0
2024.02.01	1.08163	1.08975	1.06951	1.08049	1181040	0	0
2024.03.01	1.07983	1.09812	1.07677	1.07924	1349423	0	0
2024.04.01	1.07857	1.08851	1.06013	1.06656	1564920	0	0
2024.05.01	1.06646	1.08951	1.06496	1.08485	1260672	0	0
2024.06.01	1.08463	1.09162	1.06661	1.07139	1339475	0	0
2024.07.01	1.07441	1.09482	1.07100	1.08259	1457067	0	0
2024.08.01	1.08252	1.12018	1.07776	1.10480	1646725	0	0
2024.09.01	1.10471	1.12141	1.10021	1.11349	1362401	0	0
2024.10.01	1.11346	1.11442	1.07613	1.08838	1183255	0	0
2024.11.01	1.08832	1.09373	1.04964	1.05502	893050	0	0
